Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2020,1.03687713765131,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2019,1.03683147820597,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2018,1.03730671773773,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2017,1.03747909409925,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2016,1.03743968755767,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2015,1.03697691657492,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2014,1.03660104225941,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2013,1.03627342931064,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2012,1.03691641444025,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2011,1.03743303858489,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2010,1.03784015237648,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2009,1.03876303387052,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2008,1.03878294537484,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2007,1.03881879013944,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2006,1.03989150871668,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2005,1.0405261527263,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2004,1.0405956046959,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2003,1.04121475651949,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2002,1.04136525040557,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2001,1.04221018968618,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2000,1.04213268835693,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1999,1.04198603982082,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1998,1.04236655281459,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1997,1.04225229864767,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1996,1.04277616188576,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1995,1.04320886659104,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1994,1.04390268437203,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1993,1.0438897044529,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1992,1.04329691970107,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1991,1.04324133785948,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1990,1.04350505998909,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1989,1.04346638539461,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1988,1.0428424670695,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1987,1.04236909323367,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1986,1.04194840503711,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1985,1.04151029904814,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1984,1.04165023439549,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1983,1.04125216654679,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1982,1.04095097786493,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1981,1.04111911761244,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1980,1.04071882055362,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1979,1.04067480233713,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1978,1.0405394499885,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1977,1.04047067036863,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1976,1.04080586363428,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1975,1.04116953378301,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1974,1.04157929152711,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1973,1.04158695486731,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1972,1.04161460855161,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1971,1.0410610507141,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1970,1.04107398624512,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1969,1.04048272297555,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1968,1.04007166367348,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1967,1.03957422448944,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1966,1.03906142378418,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1965,1.03859317280146,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1964,1.0381271807066,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1963,1.0380524677291,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1962,1.03801248683954,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1961,1.03750879469975,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,1960,1.03755135679653,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2021,1.05013220589925,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2020,1.05002700701786,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2019,1.05000107877814,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2018,1.04962714524407,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2017,1.04938541439594,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2016,1.04923597598627,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2015,1.04961360645003,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2014,1.04983260957058,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2013,1.04979076907426,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2012,1.05010405760822,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2011,1.0510079112639,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2010,1.05133922984326,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2009,1.05171687430816,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2008,1.05140203453921,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2007,1.05109488289535,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2006,1.05076232434605,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2005,1.05028682549844,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2004,1.04969493488369,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2003,1.04979905519525,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2002,1.05126412196565,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2001,1.05235994814061,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,2000,1.05313791050917,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1999,1.05302666457266,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1998,1.05297394394906,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1997,1.05319144677645,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1996,1.05353919430126,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1995,1.05419904170375,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1994,1.0542277374155,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1993,1.05483743678508,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1992,1.05452819325638,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1991,1.0540278018162,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1990,1.05303673707441,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1989,1.05214127940187,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1988,1.05147161363857,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1987,1.05005119221157,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1986,1.04969139177103,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1985,1.04995390225164,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1984,1.05160989405988,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1983,1.05172127848107,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1982,1.05210179391496,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1981,1.05224564139803,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1980,1.05285422375784,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1979,1.05305153282557,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1978,1.0534989416763,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1977,1.05434815187745,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1976,1.05432122583434,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1975,1.05443069293338,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1974,1.05439274045128,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1973,1.05449244331113,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1972,1.0544462687944,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1971,1.0543190394915,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1970,1.05399050023583,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1969,1.0539591120929,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1968,1.05366728758403,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1967,1.05301752707949,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1966,1.05307179456221,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1965,1.05266428516844,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1964,1.05261855511035,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1963,1.05261653971278,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1962,1.0523965727554,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1961,1.05227139671294,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Arab World,ARB,1960,1.05186605249345,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2021,1.03913270308031,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2020,1.03954903674664,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2019,1.03969727863763,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2018,1.03990996425328,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2017,1.03985923658994,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2016,1.03990398212181,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2015,1.03994753904128,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2014,1.03984251612226,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2013,1.03988140255754,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2012,1.03992510464935,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2011,1.04004266259344,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2010,1.04061031057072,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2009,1.04015833657097,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2008,1.03990182422694,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2007,1.03999341673397,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2006,1.03971199886046,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2005,1.03941189715535,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2004,1.03931241420755,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2003,1.0393155981993,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2002,1.03915262749831,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2001,1.03909631924496,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,2000,1.03886380134653,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1999,1.03881615987437,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1998,1.03872905864013,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1997,1.03923924715761,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1996,1.03952496245576,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1995,1.03902228148118,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1994,1.03912806169913,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1993,1.03846998904913,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1992,1.03806500579341,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1991,1.03789581896543,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1990,1.03767013931856,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1989,1.03782469160943,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1988,1.03830885378151,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1987,1.0383132334621,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1986,1.03823962834867,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1985,1.03833650193843,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1984,1.03843804375816,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1983,1.0387690477457,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1982,1.039249466581,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1981,1.03948189911874,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1980,1.03975745942505,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1979,1.03988551337937,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1978,1.03928498632055,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1977,1.03866654822034,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1976,1.03785070451512,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1975,1.03786547941337,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1974,1.03771101219438,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1973,1.03759757872756,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1972,1.03715402825292,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1971,1.03708826442003,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1970,1.03656603052894,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1969,1.03634393912645,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1968,1.03633040198755,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1967,1.03585423850211,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1966,1.03534988342405,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1965,1.03552062895973,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1964,1.03521542063733,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1963,1.03501760462786,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1962,1.03424536641887,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1961,1.03392876694996,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Caribbean small states,CSS,1960,1.0334685031007,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Central Europe and the Baltics,CEB,2021,1.05702963838544,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Central Europe and the Baltics,CEB,2020,1.05687570845795,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Central Europe and the Baltics,CEB,2019,1.0562072997497,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Central Europe and the Baltics,CEB,2018,1.05673488317098,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Central Europe and the Baltics,CEB,2017,1.05609846385461,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Central Europe and the Baltics,CEB,2016,1.05641428578167,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Central Europe and the Baltics,CEB,2015,1.05812128712798,
