Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.004,64.095,64.13,64.122,64.094,64.07,64.075,64.082,64.045,63.971,63.885,63.768,63.645,63.535,63.421,63.314,63.228,63.022,63.591,63.682,63.768,63.867,64.093,64.364,64.711,65.092,65.529,65.924,68.622,69.189,70.141,68.552
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.591,61.734,61.605,62.747,63.99,64.268,64.022,64.104,64.11,65.194,65.862,66.102,66.983,66.699,68.168,68.881,69.428,69.95,70.167,69.97,70.448,70.379,70.448,70.535,71.238,71.62,72.354,73.229,73.85,73.23,74.756,75.299
Austria,AUT,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.979,57.604,58.208,61.895,62.935,62.321,62.212,62.936,63.142,62.934,62.762,64.268,64.423,64.524,65.796,66.895,67.987,68.745,69.674,69.776,70.208,70.977,71.552,71.722,71.799,72.614,72.76,72.929,73.302,73.281,73.743,74.674
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.934,73.62,75.792,77.95,79.391,79.539,79.319,78.819,78.56,77.981,76.324,74.849,72.389,70.316,68.819,66.788,61.452,60.828,62.701,64.609,62.95,64.026,64.215,65.269,66.065,67.336,68.071,68.915,72.186,71.284,72.56,74.64
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.093,90.569,89.953,89.267,88.602,87.832,86.969,86.063,85.232,84.36,83.453,82.496,81.474,80.383,79.175,77.835,78.515,79.115,79.723,80.28,80.703,81.079,81.421,81.697,81.656,81.536,81.311,81.008,80.543,79.3,79.764,79.431
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.319,49.574,50.525,51.499,52.061,52.287,53.079,54.056,56.008,56.613,54.471,55.424,55.831,57.618,59.426,59.485,60.339,60.761,60.912,61.805,61.092,61.347,62.306,62.943,62.942,62.829,64.164,65.29,65.876,65.362,66.515,67.814
Benin,BEN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.106,58.09,58.822,59.584,60.388,61.2,62.026,62.876,63.752,64.655,65.587,66.548,67.009,67.473,67.942,68.415,68.89,69.367,69.845,70.325,70.808,69.003,67.14,65.218,63.252,61.25,59.209,57.135,57.194,56.647,55.609,57.292
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.129,81.025,79.888,78.704,77.495,76.261,74.98,73.656,72.291,70.88,69.445,67.975,66.486,64.963,63.428,61.867,61.451,61.066,60.705,60.367,60.049,59.749,59.462,59.193,59.196,59.207,59.223,59.249,59.282,58.704,59.274,59.255
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.488,26.658,26.874,27.124,27.404,27.63,27.893,28.184,28.484,28.776,28.988,29.215,29.448,29.674,29.899,30.027,30.503,30.99,31.477,31.948,32.417,32.891,33.37,33.855,34.353,34.866,38.48,38.824,39.122,38.833,40.309,39.544
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.916,66.41,65.286,64.117,62.91,61.673,60.411,59.164,57.961,56.75,59.318,58.89,57.241,58.363,57.272,59.943,61.563,62.733,62.007,62.776,62.49,63.731,65.135,65.623,65.995,65.118,67.689,67.609,69.336,68.132,68.327,70.371
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.158,30.819,31.474,32.135,32.806,33.485,34.179,34.903,35.673,36.497,37.375,38.238,39.064,39.776,40.478,41.258,42.116,43.054,44.077,45.081,44.073,44.343,44.56,44.65,44.746,44.968,45.315,45.897,46.292,45.549,45.909,46.275
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.374,69.957,70.542,71.103,71.562,71.941,72.691,72.032,73.385,73.771,74.003,74.187,73.841,73.724,73.934,74.08,74.05,73.553,72.844,72.804,72.708,72.946,72.501,72.512,72.415,72.48,72.724,72.973,73.039,68.041,70.623,71.816
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.273,35.162,34.938,34.698,34.443,34.355,34.289,34.337,34.43,34.484,34.57,35.215,35.83,36.414,36.977,37.516,37.661,39.476,40.038,41.432,41.558,41.515,41.668,43.599,43.718,43.262,43.938,43.678,46.18,45.577,49.484,50.399
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.46,64.553,64.649,64.949,65.37,65.497,65.528,65.738,66.078,67.014,67.85,68.551,69.139,69.636,70.109,70.541,70.905,71.215,71.464,71.729,72.139,72.655,73.201,73.762,74.261,74.714,74.857,74.595,75.338,75.346,75.96,76.34
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.947,35.872,36.235,36.008,37.378,38.782,40.216,41.165,41.2,41.729,42.248,42.756,43.267,43.784,44.302,44.824,45.35,45.881,46.419,46.943,47.452,47.973,48.504,49.521,50.45,51.389,50.665,51.047,51.28,49.757,51.002,52.586
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.432,58.357,58.746,59.223,59.704,60.118,60.632,61.454,62.271,60.704,60.836,60.953,61.078,61.21,61.35,64.924,61.818,63.623,64.297,63.992,63.692,59.31,60.191,62.619,55.798,58.363,60.368,64.973,62.281,61.372,59.709,60.805
Brazil,BRA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.671,47.788,48.921,50.067,51.225,50.031,51.191,52.046,53.532,54.671,55.771,57.462,57.72,58.818,60.155,59.923,59.794,59.481,60.215,58.755,57.273,57.605,57.735,57.831,58.709,59.202,60.318,60.774,61.786,56.63,59.26,60.909
Barbados,BRB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.603,70.044,71.015,72.019,74.021,72.585,73.895,73.4,72.78,74.069,75.336,74.143,75.372,75.656,75.584,73.498,72.502,73.196,73.522,73.829,74.105,71.689,72.757,71.653,71.927,73.107,71.903,70.693,71.189,69.853,71.125,71.923
Brunei Darussalam,BRN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.093,49.129,50.175,51.229,52.289,53.352,54.413,55.465,56.51,57.546,58.57,58.628,58.688,58.757,58.835,58.913,58.983,59.039,59.079,59.116,59.192,59.244,59.329,59.443,59.579,59.742,59.935,61.074,58.546,58.481,59.349,59.779
Bhutan,BTN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.278,59.198,59.144,59.086,59.02,59.463,60.018,60.651,61.346,62.104,62.991,63.94,64.915,65.858,66.738,67.196,67.642,68.076,68.496,65.95,64.652,65.793,60.868,56.561,58.027,57.848,57.629,57.383,63.25,65.796,67.62,67.809
Botswana,BWA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.832,48.915,48.976,49.054,49.159,49.248,49.364,49.491,49.745,49.959,50.667,51.379,52.092,52.806,53.519,54.231,55.324,56.415,57.507,54.487,55.191,55.898,56.604,57.321,58.049,58.778,59.513,60.251,60.994,59.506,62.087,62.681
Central African Republic,CAF,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.876,63.846,63.844,63.861,63.896,63.869,63.867,63.87,63.878,63.881,63.85,63.833,63.805,63.808,63.804,63.766,63.737,63.713,63.717,63.734,63.677,63.64,63.517,63.506,63.513,63.579,63.657,63.742,63.827,63.224,63.399,63.762
Canada,CAN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.195,68.638,68.538,68.487,68.54,68.602,69.025,69.834,70.54,71.174,71.607,72.945,74.069,74.185,73.731,74.045,74.838,74.808,74.836,74.842,74.691,74.814,75.156,74.678,74.573,74.844,75.389,75.492,75.915,74.209,76.13,76.788
Central Europe and the Baltics,CEB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.08625716,62.98383376,62.38098589,61.81893753,61.10025395,60.56933635,60.3743663,60.12916184,60.12266728,60.46238755,60.49952616,58.93025249,58.64640137,58.49345992,58.2451164,58.3446753,58.2630264,58.51767612,59.00207101,59.62145471,59.6813913,60.53139512,61.02892916,62.01852107,62.48029893,62.85852164,63.96143145,64.46530815,64.84946439,64.86930832,65.98781205,67.10397326
Switzerland,CHE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.434,64.024,65.02,64.444,64.596,70.181,70.506,71.972,72.148,71.553,73.144,73.708,73.997,73.783,74.166,74.631,74.906,76.519,76.961,75.246,76.133,76.566,76.992,77.914,78.546,79.339,79.171,79.717,80.066,79.845,79.669,79.235
Channel Islands,CHI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.608,56.943,56.656,56.647,57.194,58.351,59.152,59.616,60.561,60.628,62.179,64.476,65.393,65.386,64.743,64.071,63.191,63.863,65.031,64.947,63.495,63.988,64.223,64.393,64.615,65.035,65.201,65.337,65.655,64.914,65.497,65.449
Chile,CHL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.734,36.37,37.32,38.033,39.402,40.444,41.354,41.806,42.205,41.855,40.889,40.695,42.178,43.795,44.91,46.141,47.221,49.527,50.21,51.244,53.347,53.836,53.981,54.78,54.802,54.732,55.408,56.224,56.337,52.601,54.163,58.229
China,CHN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.861,78.609,78.383,78.148,77.901,77.635,77.347,77.078,76.81,76.514,75.926,75.308,74.664,73.995,73.309,72.64,71.979,71.306,70.632,69.971,70.088,69.899,69.771,69.814,69.898,69.961,69.969,69.992,70.107,69.06,71.021,70.909
Cote d'Ivoire,CIV,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.538,48.588,48.651,48.722,48.813,48.846,48.872,48.905,49.348,49.786,50.222,50.651,51.077,51.502,51.923,52.343,52.762,53.183,53.607,54.032,54.458,54.882,55.304,55.727,56.156,56.591,57.033,57.481,57.935,57.393,58.251,58.029
Cameroon,CMR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.822,78.784,78.738,78.739,78.756,78.766,78.789,78.82,78.856,78.893,78.913,78.934,78.957,78.989,79.007,79.009,79.022,76.64,74.082,71.353,70.447,69.537,68.619,67.693,67.722,67.752,67.788,67.833,67.884,67.233,67.331,67.836
"Congo, Dem. Rep.",COD,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.488,72.415,72.338,72.297,72.303,72.273,72.251,72.252,72.245,72.224,72.178,72.155,72.147,72.147,72.149,70.964,69.751,68.513,67.249,65.958,64.641,63.303,63.304,63.318,63.336,63.328,63.342,63.379,63.427,62.823,63.308,63.511
"Congo, Rep.",COG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.299,67.374,67.445,67.496,67.571,67.635,67.684,67.736,67.752,67.787,67.786,67.809,67.817,67.818,67.816,67.825,67.791,67.79,67.801,67.821,67.749,67.719,67.688,67.688,67.677,67.674,67.703,67.747,67.817,66.868,67.594,67.627
Colombia,COL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.83,54.329,55.065,55.88,56.592,56.737,57.149,57.051,56.049,56.397,56.541,55.494,56.973,56.236,54.393,53.884,53.389,53.905,57.702,58.229,58.908,60.121,59.48,59.306,59.728,59.298,59.077,58.049,57.285,56.176,57.09,56.349
Comoros,COM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.525,32.549,32.567,32.584,32.637,32.681,32.749,32.822,32.929,33.085,33.208,33.339,33.451,33.542,33.592,33.643,33.693,33.737,33.775,33.808,33.84,33.874,33.914,33.962,34.025,34.082,34.163,34.265,34.373,34.052,34.399,34.329
Cabo Verde,CPV,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.388,44.728,45.064,45.404,45.751,46.108,46.478,46.857,47.241,47.671,48.153,48.655,49.177,49.71,50.246,50.782,51.32,51.859,52.397,52.846,53.305,53.777,54.275,54.814,55.382,55.999,56.684,52.985,55.15,52.43,53.72,55.272
Costa Rica,CRI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.434,34.819,35.795,37.2,38.051,36.535,39.742,42.188,42.857,41.62,44.794,44.482,44.894,43.265,47.538,47.032,48.299,48.436,49.005,48.443,50.608,55.962,55.848,56.16,54.996,50.945,51.131,54.191,58.484,54.531,56.621,57.025
Caribbean small states,CSS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.02234893,56.29576356,56.26160359,56.27076921,56.31763892,56.44718135,56.32092088,56.00351572,55.46029792,55.26226361,54.87266414,54.88450103,55.27041853,55.84541461,56.33109907,56.53942837,56.24058871,56.51654325,55.47196455,54.71062473,54.96748944,55.95408592,56.4426928,57.05702502,58.69781566,58.6777916,59.08586958,58.97112017,59.29391205,57.27567254,58.95169859,58.64767717
Cuba,CUB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.454,40.038,38.194,38.314,38.634,39.618,39.978,40.005,40.757,41.537,41.994,42.326,42.981,43.854,45.326,46.874,47.844,48.419,49.958,49.546,49.481,49.951,50.374,50.525,51.111,51.135,51.348,51.649,51.618,48.585,49.935,51.124
Curacao,CUW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.901,49.58,50.398,51.182,51.965,52.755,53.56,54.38,55.213,56.052,59.237,60.121,61.57,60.995,61.121,62.349,64.057,64.337,65.022,66.463,66.3,66.185,66.744,68.913,68.126,66.691,67.648,68.696,68.937,68.075,69.874,72.079
Czechia,CZE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.789,63.819,63.846,64.306,64.039,63.51,63.678,63.931,64.054,63.586,63.151,62.655,62.459,62.134,62.312,62.295,61.428,61.104,61.588,61.623,62.202,63.494,65.065,65.619,66.448,67.648,68.681,69.648,69.839,69.306,69.929,70.35
Germany,DEU,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.708,61.421,61.155,61.499,61.386,61.6,62.014,62.334,63.126,63.277,64.03,64.38,65.218,65.208,67.797,69.389,70.19,70.456,71.104,71.218,72.259,72.203,72.888,73.193,73.237,74.569,75.021,75.168,76.197,75.162,75.247,76.173
Djibouti,DJI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.842,15.9,15.993,16.082,16.139,16.223,16.265,16.289,16.341,16.436,16.497,16.594,16.724,16.869,17.015,17.249,17.489,17.736,17.981,18.215,18.351,18.465,18.566,18.671,18.787,18.855,18.954,19.078,19.193,18.747,19.047,19.266
Dominica,DMA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.391,79.236,78.456,73.816,72.682,73.973,74.231,74.83,75.517,75.594,74.41,75.304,74.453,75.685,75.528,76.348,76.073,75.234,75.075,74.482,74.379,74.166,73.913,73.262,73.474,74.573,75.005,75.279,76.035,75.897,76.345,77.976
Dominican Republic,DOM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.608,37.661,38.338,38.52,39.037,39.587,40.468,41.144,41.744,42.209,40.775,42.652,41.68,41.617,42.259,43.247,42.971,44.635,41.569,44.635,46.541,48.081,48.139,48.566,51.51,52.203,52.467,54.163,55.954,50.772,55.206,54.804
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.604,11.736,11.887,12.058,12.25,12.466,12.648,12.823,12.989,13.158,13.331,13.507,13.685,13.865,14.049,14.235,14.425,14.618,14.816,15.041,15.937,16.869,17.745,15.984,17.516,18.262,18.166,18.073,18.016,16.948,17.621,18.049
East Asia & Pacific (excluding high income),EAP,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.86755139,73.6991708,73.36044934,73.29950586,73.0879885,72.86766686,72.47158383,72.31719266,72.05147792,71.77775868,71.17659714,70.46016452,69.88387032,69.24682912,68.72782109,68.21771518,68.22020904,67.74938391,67.22343767,66.76233932,66.99322403,66.87512252,66.61434012,66.63821704,66.64436233,66.57696733,66.47103257,66.65906429,66.79264448,65.59124123,66.70167745,66.80897928
